C.D.S.  -  SIMBAD4 rel 1.8  -  2025.07.03CEST11:46:20

Vmag < 5 & otype = 'Star'
-------------------------

Number of objects : 1651

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------------|-----|----
168 |* 34 Per                           |*  |03 29 22.0494961351 +49 30 32.230623601|4.01     |4.610    |4.735    |     ~   |     ~   |B3V                  | 169 |   0
169 |* gam02 Vel                        |WR*|08 09 31.95013 -47 20 11.7108          |0.64     |1.58     |1.83     |1.85     |2.00     |WC8+O7.5III-V        | 931 |   0
170 |* eta Aps                          |PM*|14 18 13.8958998144 -81 00 27.930594204|     ~   |5.130    |4.889    |     ~   |     ~   |A2mA7-F2             |  59 |   0
171 |* 70 Aql                           |*  |20 36 43.6331948352 -02 32 59.836714368|     ~   |6.475    |4.880    |     ~   |     ~   |K4+IIIBa1            |  81 |   0
172 |* tau Aur                          |*  |05 49 10.4375785154 +39 10 51.860340710|6.160    |5.450    |4.500    |3.80     |3.31     |G8IIIbFe-1           | 156 |   0
173 |* lam Cet                          |*  |02 59 42.8925388548 +08 54 26.589196584|4.13     |4.58     |4.70     |4.72     |4.70     |B6III                | 103 |   0
174 |* gam Ori                          |V* |05 25 07.86325 +06 20 58.9318          |0.54     |1.42     |1.64     |1.73     |1.95     |B2III                | 535 |   1
175 |* zet Oph                          |Be*|16 37 09.5400587698 -10 34 01.509742704|1.73     |2.58     |2.56     |2.46     |2.50     |O9.2IVnn             |1882 |   0
176 |* eta Scl                          |LP*|00 27 55.6978213752 -33 00 25.797481668|8.26     |6.45     |4.81     |3.22     |1.84     |M2/3III              |  62 |   0
177 |* gam Dra                          |*  |17 56 36.36988 +51 29 20.0242          |5.630    |3.760    |2.230    |1.08     |0.23     |K5III                | 574 |   1
178 |* pi. Hya                          |PM*|14 06 22.2980035207 -26 40 56.501676257|5.45     |4.41     |3.28     |2.40     |1.85     |K2-IIIFe-0.5         | 146 |   0
179 |* sig Dra                          |PM*|19 32 21.5902098601 +69 39 40.235805206|5.860    |5.460    |4.680    |4.04     |3.63     |K0V                  | 664 |   0
180 |* kap Psc                          |a2*|23 26 55.9558721856 +01 15 20.177913204|4.94     |4.98     |4.94     |4.87     |4.90     |A2VpSrCrSi           | 285 |   0
181 |* del Aqr                          |PM*|22 54 39.0062577912 -15 49 14.950434720|3.41     |3.33     |3.28     |3.21     |3.17     |A3Vp                 | 164 |   0
182 |* omi Her                          |Be*|18 07 32.5511122149 +28 45 44.967836300|3.74     |3.802    |3.827    |     ~   |     ~   |B9.5III              | 160 |   0
183 |* bet Lup                          |PM*|14 58 31.92536 -43 08 02.2699          |1.59     |2.46     |2.68     |2.78     |2.95     |B2III                | 193 |   0
184 |* del Cas                          |EB*|01 25 48.9514709 +60 14 07.022507      |2.930    |2.810    |2.680    |2.53     |2.44     |A5IV                 | 270 |   0
185 |* bet Mon A                        |Be*|06 28 49.0704018024 -07 01 59.013827328|3.87     |4.50     |4.60     |     ~   |     ~   |B4Veshell            | 252 |   0
186 |* chi Lup                          |SB*|15 50 57.5453432166 -33 37 37.728345509|3.77     |3.909    |3.946    |     ~   |     ~   |B9III                | 314 |   0
187 |* bet Hya                          |a2*|11 52 54.52149 -33 54 29.2672          |3.85     |4.18     |4.28     |4.27     |4.35     |kB8hB8HeA0VSi        | 107 |   0
188 |* bet Lib                          |PM*|15 17 00.41382 -09 22 58.4919          |2.14     |2.51     |2.62     |2.67     |2.76     |B8Vn                 | 277 |   0
189 |* E Car                            |Be*|09 05 38.3753516880 -70 32 18.594082500|3.75     |4.500    |4.652    |     ~   |     ~   |B3III                | 104 |   0
190 |* N Sco                            |V* |16 31 22.9344803220 -34 42 15.725494158|3.30     |4.06     |4.23     |4.29     |4.41     |B2III-IV             | 148 |   0
191 |* bet CMi                          |Be*|07 27 09.0417373 +08 17 21.536745      |2.52     |2.80     |2.89     |2.90     |2.96     |B8Ve                 | 391 |   0
192 |* sig And                          |PM*|00 18 19.6573687726 +36 47 06.808541679|4.64     |4.57     |4.52     |4.44     |4.44     |A2V                  | 150 |   0
193 |* ksi Hya                          |** |11 33 00.1149306166 -31 51 27.447975478|5.17     |4.47     |3.54     |2.84     |2.36     |G7IIIb               | 265 |   0
194 |* phi Cen                          |Pu*|13 58 16.2661773764 -42 06 02.724906325|2.79     |3.608    |3.802    |     ~   |     ~   |B2IV                 | 160 |   0
195 |* eps CMi                          |*  |07 25 38.8996839840 +09 16 33.925520604|     ~   |5.990    |4.986    |     ~   |     ~   |G6IIb                | 108 |   0
196 |* 31 Vul                           |SB*|20 52 07.6902075264 +27 05 48.999114816|     ~   |5.399    |4.568    |     ~   |     ~   |G7IIIFe-1            | 149 |   0
197 |* del TrA                          |*  |16 15 26.2707862589 -63 41 08.453417447|     ~   |4.943    |3.839    |     ~   |     ~   |G2Ib-IIa             | 106 |   0
198 |* 30 Vul                           |SB*|20 44 52.5127511544 +25 16 14.267543448|7.28     |6.10     |4.91     |4.06     |3.48     |K1III                |  93 |   0
199 |* bet Mus A                        |** |12 46 16.7989489905 -68 06 29.159962005|     ~   |3.38     |3.55     |     ~   |     ~   |B2V                  |   2 |   0
200 |* omi And                          |Be*|23 01 55.2649954408 +42 19 33.655865640|3.00     |3.53     |3.62     |3.61     |3.69     |B6IV/V_sh            | 433 |   0
201 |* lam Ari                          |PM*|01 57 55.7167412144 +23 35 45.826018541|     ~   |5.053    |4.766    |     ~   |     ~   |F0V                  | 108 |   0
202 |* phi Sgr                          |PM*|18 45 39.3895425891 -26 59 26.817522401|2.69     |3.050    |3.140    |     ~   |     ~   |B8III                | 125 |   0
203 |* bet Cnc                          |PM*|08 16 30.9209888482 +09 11 07.958245527|6.750    |5.000    |3.520    |2.42     |1.62     |K4IIIBa0.5:          | 378 |   0
204 |* psi02 Ori                        |bC*|05 26 50.2293232104 +03 05 44.422154160|3.45     |4.398    |4.611    |     ~   |     ~   |B2IV                 | 215 |   0
205 |* omi Vel                          |Pu*|08 40 17.5993322082 -52 55 18.875623881|2.8      |3.44     |3.63     |     ~   |     ~   |B3/5(V)              | 179 |   0
206 |* bet Aqr                          |*  |21 31 33.5320760349 -05 34 16.229381029|4.27     |3.71     |2.89     |2.29     |1.84     |G0Ib                 | 455 |   0
207 |* nu. Her                          |LP*|17 58 30.1496073102 +30 11 21.387652276|4.95     |4.80     |4.41     |4.01     |3.78     |kA9hF2mF2(IV)        | 184 |   0
208 |* bet Leo                          |dS*|11 49 03.57834 +14 34 19.4090          |2.30     |2.22     |2.13     |2.08     |2.06     |A3Va                 | 595 |   1
209 |* 60 Her                           |PM*|17 05 22.6904232168 +12 44 26.975378148|     ~   |5.001    |4.871    |     ~   |     ~   |A3V                  | 129 |   0
210 |* J Pup                            |s*b|07 53 18.1574768969 -48 06 10.566474468|3.11     |4.10     |4.24     |4.26     |4.38     |B0.5Ib               | 245 |   0
211 |* x Car                            |cC*|11 08 35.3887658400 -58 58 30.139080572|6.07     |5.09     |3.83     |2.86     |2.27     |G5_0-Ia              | 154 |   0
212 |* o Ori                            |SB*|05 21 45.7473567408 -00 22 56.880734196|3.79     |4.58     |4.74     |4.79     |4.97     |B2IV                 | 242 |   0
213 |* 54 Per                           |*  |04 20 24.6379073928 +34 34 00.213397500|     ~   |5.867    |4.929    |     ~   |     ~   |G8+IIIb              | 142 |   0
214 |* alf Cha                          |PM*|08 18 31.5524679912 -76 55 11.006621351|     ~   |4.448    |4.047    |     ~   |     ~   |F5VFe-0.8            | 109 |   0
215 |HD 60532                           |PM*|07 34 03.1805638968 -22 17 45.843172440|5.02     |4.94     |4.39     |     ~   |     ~   |F6IV-V               | 234 |   1
216 |* 25 CVn A                         |PM*|13 37 27.6268608000 +36 17 41.632615356|     ~   |5.17     |4.95     |     ~   |     ~   |A7III                |   8 |   0
217 |* zet Ind                          |*  |20 49 28.9625672064 -46 13 36.577128720|     ~   |6.390    |4.882    |     ~   |     ~   |K5III                |  44 |   0
218 |* alf01 Cap                        |** |20 17 38.8691281056 -12 30 29.563869708|6.14     |5.34     |4.27     |3.49     |2.94     |G3Ib                 | 140 |   0
219 |* 52 Her A                         |PM*|16 49 14.2170976896 +45 58 59.950140852|     ~   |4.907    |4.826    |     ~   |     ~   |~                    |   7 |   0
220 |* eps Aur                          |SB*|05 01 58.1343686760 +43 49 23.917115316|3.86     |3.53     |2.99     |2.47     |2.02     |A9Ia                 | 592 |   0
221 |* iot Gem                          |** |07 25 43.5956409143 +27 47 53.086950407|5.67     |4.83     |3.79     |3.02     |2.52     |G9IIIb               | 218 |   0
222 |* bet Lep                          |PM*|05 28 14.7228880318 -20 45 33.997988694|4.13     |3.66     |2.84     |2.19     |1.75     |G5II-IIIa:           | 248 |   0
223 |* s Car                            |V* |10 27 52.7297730743 -58 44 21.862230028|     ~   |4.111    |3.810    |     ~   |     ~   |F2II                 |  93 |   0
224 |* ups04 Eri                        |SB*|04 17 53.6624004496 -33 47 54.052408258|3.07     |3.44     |3.56     |3.57     |3.68     |B8V+B9.5V?           | 162 |   0
225 |* 31 Boo                           |V* |14 41 38.7511938264 +08 09 42.352458552|     ~   |5.866    |4.862    |     ~   |     ~   |G7IIIa               | 163 |   0
226 |* 24 Lyn                           |PM*|07 43 00.4158205760 +58 42 37.293062616|     ~   |5.024    |4.947    |     ~   |     ~   |A3IVn                |  80 |   0
227 |* zet Cen                          |SB*|13 55 32.38565 -47 17 18.1482          |1.42     |2.33     |2.55     |2.69     |2.89     |B2.5IV               | 181 |   0
228 |* ksi Oph                          |PM*|17 21 00.3745211364 -21 06 46.571010951|     ~   |4.752    |4.387    |     ~   |     ~   |F2V                  | 144 |   0
229 |* 58 Oph                           |PM*|17 43 25.7935382141 -21 40 59.498912759|     ~   |5.313    |4.861    |     ~   |     ~   |F5V                  | 152 |   0
230 |* 78 Peg                           |PM*|23 43 59.4852779160 +29 21 41.240147040|     ~   |5.94     |4.96     |6.27     |     ~   |G8IIIb               |  95 |   0
231 |* M Vel                            |PM*|09 36 49.5391581186 -49 21 18.091787493|4.64     |4.52     |4.35     |4.20     |4.10     |A7V                  |  63 |   0
232 |* ksi Leo                          |PM*|09 31 56.7409736040 +11 17 59.358476976|     ~   |6.015    |4.963    |     ~   |     ~   |G9.5III              | 117 |   0
233 |* k01 Pup                          |*  |07 38 49.3751428464 -26 48 06.324538176|3.76     |4.33     |4.50     |     ~   |     ~   |B6V                  |  63 |   0
234 |* bet Vol                          |PM*|08 25 44.1950662149 -66 08 12.796451416|     ~   |4.896    |3.759    |     ~   |     ~   |K2III                |  94 |   0
235 |* tau Cas                          |PM*|23 47 03.4543856136 +58 39 07.167728628|     ~   |5.993    |4.873    |     ~   |     ~   |K1-IIIa              | 112 |   0
236 |HD 102839                          |*  |11 49 56.6154142824 -70 13 32.840828760|     ~   |6.333    |4.964    |     ~   |     ~   |G6Ib                 |  42 |   0
237 |* bet Boo                          |PM*|15 01 56.7623044453 +40 23 26.046853660|5.21     |4.47     |3.52     |2.85     |2.37     |G8IIIaFe-0.5         | 261 |   0
238 |* 95 Her A                         |*  |18 01 30.4086813696 +21 35 44.812142376|     ~   |4.98     |4.83     |     ~   |     ~   |A2IV                 |  52 |   0
239 |* tau02 Eri                        |PM*|02 51 02.3271116481 -21 00 14.441517124|6.28     |5.67     |4.77     |4.07     |3.60     |K0III                |  94 |   0
240 |* b02 Aqr                          |PM*|23 26 02.7858628622 -20 38 31.264751688|7.65     |5.86     |4.39     |3.27     |2.46     |K4.5III              |  62 |   0
241 |HD 12055                           |PM*|01 57 10.0796141472 -47 23 07.007133372|     ~   |5.695    |4.834    |     ~   |     ~   |G6III-IIIb           |  54 |   0
242 |* gam Tuc                          |PM*|23 17 25.7564454336 -58 14 08.524954176|4.35     |4.37     |3.98     |3.57     |3.33     |F4V                  | 165 |   0
243 |* 54 Leo                           |** |10 55 36.79658 +24 44 58.9823          |     ~   |4.34     |4.32     |     ~   |     ~   |A1                   |  27 |   0
244 |* H Pup                            |PM*|07 03 53.6021248032 -49 35 02.179401108|     ~   |5.045    |4.925    |     ~   |     ~   |A4IV                 |  49 |   0
245 |* zet CrA                          |PM*|19 03 06.8768335825 -42 05 42.380397917|     ~   |4.701    |4.725    |     ~   |4.76     |B9.5Vann             |  75 |   0
246 |* 1 Vul                            |SB*|19 16 13.0391965104 +21 23 25.544515308|4.18     |4.72     |4.77     |4.76     |4.83     |B4IV                 | 129 |   0
247 |* tau01 Eri                        |PM*|02 45 06.1988006895 -18 34 21.442179919|4.94     |4.94     |4.46     |4.03     |3.76     |F7V                  | 234 |   0
248 |* i Dra                            |LP?|13 51 25.9116350245 +64 43 23.812594629|8.12     |6.23     |4.66     |3.05     |1.69     |M3.5III              | 126 |   0
249 |* 5 CVn                            |*  |12 24 01.4942854464 +51 33 44.124636780|     ~   |5.643    |4.761    |     ~   |     ~   |G7IIIBa0.3           | 154 |   0
250 |* iot Lup                          |V* |14 19 24.2211609376 -46 03 29.139332461|2.65     |3.355    |3.529    |     ~   |     ~   |B2.5IV               | 118 |   0
251 |* tet Gem                          |PM*|06 52 47.3388625619 +33 57 40.524337771|3.84     |3.70     |3.60     |3.50     |3.42     |A2IV                 | 140 |   0
252 |* c Leo                            |PM*|11 00 44.8020233616 +06 06 05.202793080|     ~   |5.133    |4.977    |     ~   |4.80     |A5III                |  60 |   0
253 |* 54 Eri                           |LP*|04 40 26.5114226976 -19 40 17.370744924|7.80     |5.90     |4.30     |2.81     |1.40     |M3/4III              |  74 |   0
254 |HD 42818                           |PM*|06 18 50.7775136949 +69 19 11.331249516|     ~   |4.770    |4.757    |     ~   |     ~   |A0Vn                 |  81 |   0
255 |* gam01 Leo                        |PM*|10 19 58.354462 +19 50 29.35920        |4.13     |3.13     |1.98     |1.13     |0.51     |K1-IIIFe-1           | 287 |   1
256 |* g Dra                            |*  |16 40 55.1194824166 +64 35 20.564477206|     ~   |6.045    |4.842    |     ~   |     ~   |K0IIICN-0.5CH-2Ca1   |  83 |   0
257 |* eta Ara                          |*  |16 49 47.1562913570 -59 02 28.965649640|     ~   |5.306    |3.744    |     ~   |     ~   |K5III                |  70 |   0
258 |* bet Dor                          |cC*|05 33 37.5159729864 -62 29 23.376457680|5.13     |4.58     |3.76     |3.55     |3.12     |F8/G0Ib              | 391 |   0
259 |V* R Cas                           |Mi*|23 58 24.8682785040 +51 23 19.713029388|6.71     |6.63     |4.80     |     ~   |     ~   |M6.5-9e              | 714 |   0
260 |* del Sgr                          |*  |18 20 59.6428936493 -29 49 41.168145329|     ~   |4.069    |2.668    |     ~   |     ~   |K2.5IIIaCN0.5        | 181 |   0
261 |* l Cen                            |** |12 39 52.5291353564 -39 59 14.286324017|4.16     |4.56     |4.64     |4.66     |4.75     |B8II/III             | 121 |   0
262 |* gam Cru                          |PM*|12 31 09.95961 -57 06 47.5684          |5.01     |3.23     |1.64     |-0.02    |-1.44    |M3.5III              | 286 |   1
263 |* eta Cet                          |HB*|01 08 35.3913324413 -10 10 56.151936084|5.80     |4.61     |3.45     |2.61     |2.03     |K2-IIIb              | 231 |   0
264 |* 1 Lac                            |V* |22 15 58.1768995862 +37 44 55.446825079|7.24     |5.61     |4.15     |3.15     |2.43     |K3-II-III            | 109 |   0
265 |* zet Vol                          |*  |07 41 49.2590323455 -72 36 21.956812196|     ~   |4.977    |3.944    |     ~   |     ~   |G9IIIb               |  78 |   0
266 |* 106 Her                          |PM*|18 20 17.9149366104 +21 57 40.667073804|8.54     |6.54     |4.96     |3.62     |2.62     |M1III                | 101 |   0
267 |* omi Vir                          |SB*|12 05 12.5318326945 +08 43 58.866875781|5.75     |5.11     |4.12     |3.38     |2.89     |G8IIICN0.5CH1Ba1     | 294 |   0
