C.D.S.  -  SIMBAD4 rel 1.8  -  2025.07.03CEST11:55:02

Vmag < 6 & otype = 'Star'
-------------------------

Number of objects : 5066

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------------|-----|----
118 |* 67 Oph                           |s*b|18 00 38.7157893000 +02 55 53.633402904|3.34     |3.96     |3.93     |3.84     |3.81     |B4Ib-II              | 418 |   0
119 |* phi Gru                          |PM*|23 18 09.8840454696 -40 49 27.703073964|     ~   |5.952    |5.537    |     ~   |     ~   |F4V                  |  64 |   0
120 |* 75 Dra                           |*  |20 28 14.5838131800 +81 25 21.749766636|     ~   |6.379    |5.368    |     ~   |     ~   |G9III                |  55 |   0
121 |* 12 Cet                           |*  |00 30 02.3584197912 -03 57 26.377933896|9.19     |7.28     |5.72     |     ~   |     ~   |K5III                |  56 |   0
122 |HD 101162                          |PM*|11 37 48.3782342832 -67 37 13.364056560|     ~   |6.954    |5.929    |     ~   |     ~   |K0III                |  29 |   0
123 |HD 131432                          |*  |14 54 37.9141813344 -33 18 02.053069128|     ~   |7.275    |5.834    |     ~   |     ~   |K2III                |  15 |   0
124 |* alf Cas                          |PM*|00 40 30.4430418459 +56 32 14.385181354|4.52     |3.40     |2.23     |1.45     |0.85     |K0-IIIa              | 345 |   0
125 |* tet Men                          |Pu*|06 56 34.4743439016 -79 25 12.691763616|     ~   |5.487    |5.449    |     ~   |     ~   |B9.5/A0III/IV        |  42 |   0
126 |HD 171779                          |** |18 33 56.69453 +52 21 12.6567          |     ~   |6.470    |5.380    |     ~   |     ~   |G9III                | 140 |   0
127 |* 60 Cyg                           |Be*|21 01 10.9277453472 +46 09 20.795190696|4.23     |5.226    |5.432    |     ~   |     ~   |B1Ve                 | 209 |   0
128 |HD 86513                           |PM*|09 59 36.2143578360 +29 38 42.833290272|     ~   |6.801    |5.744    |     ~   |     ~   |G9III:               |  44 |   0
129 |V* R CrB                           |RC*|15 48 34.4154827352 +28 09 24.295852440|6.44     |6.31     |5.71     |5.26     |5.08     |G0Iep                | 792 |   0
130 |* bet Hyi                          |PM*|00 25 45.07036 -77 15 15.2860          |3.52     |3.41     |2.79     |2.28     |1.94     |G0V                  | 617 |   0
131 |* rho Cet                          |*  |02 25 57.0058454304 -12 17 25.707504156|     ~   |4.841    |4.866    |     ~   |     ~   |A0V                  | 115 |   0
132 |HD 109519                          |SB*|12 35 08.1669518712 +21 52 52.987877328|     ~   |7.12     |5.86     |     ~   |     ~   |K2II-III             |  51 |   0
133 |* del02 Aps                        |*  |16 20 26.8576293624 -78 40 02.985710376|     ~   |6.664    |5.247    |     ~   |     ~   |K3III                |  23 |   0
134 |* omi Gem                          |PM*|07 39 09.9346623336 +34 35 03.502791096|5.41     |5.30     |4.90     |4.51     |4.29     |F5-6IV               | 110 |   0
135 |* lam Ser                          |PM*|15 46 26.6142121632 +07 21 11.047378824|5.13     |5.03     |4.42     |3.92     |3.60     |G0-V                 | 597 |   0
136 |* ups Gru A                        |*  |23 06 53.624890 -38 53 32.24749        |     ~   |5.68     |5.70     |     ~   |     ~   |~                    |   0 |   0
137 |* bet Ara                          |s*r|17 25 17.9878053183 -55 31 47.574076000|5.87     |4.31     |2.85     |     ~   |     ~   |K0/1Ib               | 136 |   0
138 |* eps Car A                        |*  |08 22 30.833784 -59 30 34.13052        |     ~   |3.86     |2.01     |     ~   |     ~   |K3:III               |   7 |   0
139 |HD 58954                           |dS*|07 27 07.9899122714 -17 51 53.509236231|     ~   |5.92     |5.62     |     ~   |     ~   |F2V                  |  55 |   0
140 |HD 77353                           |PM*|09 01 57.9873674304 -00 28 57.627593328|     ~   |6.801    |5.627    |     ~   |     ~   |K0III                |  59 |   0
141 |* psi02 Aqr                        |Be*|23 17 54.2137206 -09 10 57.067524      |3.72     |4.26     |4.40     |4.47     |4.60     |B5V                  | 154 |   0
142 |* 54 Psc                           |PM*|00 39 21.8053928046 +21 15 01.712899720|7.29     |6.71     |5.88     |5.21     |4.82     |K0.5V                | 606 |   1
143 |* ksi02 CMa                        |*  |06 35 03.3875525904 -22 57 53.263500084|     ~   |4.49     |4.50     |     ~   |     ~   |A0III                |  72 |   0
144 |HD 75276                           |*  |08 47 18.8443975992 -46 09 19.498578984|6.71     |6.263    |5.748    |6.73     |     ~   |F0III                |  78 |   0
145 |HD 168694                          |*  |18 19 52.0698254616 +29 39 59.007407040|     ~   |7.338    |5.993    |     ~   |     ~   |K4III                |  22 |   0
146 |HD 165402                          |** |18 06 07.3979273846 -08 19 26.257009994|5.83     |6.027    |5.859    |     ~   |     ~   |B2II/III             |  59 |   0
147 |* 27 CMa                           |Be*|07 14 15.2117197408 -26 21 09.028965559|3.76     |4.45     |4.65     |4.64     |4.73     |B4Ve_sh              | 238 |   0
148 |V* AR Cet                          |LP?|02 00 26.8226532222 -08 31 25.945058514|8.37     |7.03     |5.51     |     ~   |     ~   |M3II                 |  67 |   0
149 |* eps Lup                          |bC*|15 22 40.8682566 -44 41 22.614637      |2.46     |3.191    |3.366    |     ~   |     ~   |B3IV+B3:V            | 190 |   0
150 |* D Vel                            |bC?|08 43 40.2730174416 -49 49 22.082995200|3.93     |4.96     |5.16     |6.76     |     ~   |B1/2II/III(n)        | 101 |   0
151 |* omi Lup                          |** |14 51 38.3028905 -43 34 31.296546      |3.59     |4.164    |4.313    |     ~   |     ~   |B5IV                 | 122 |   0
152 |* c Ori                            |Y*O|05 35 23.1646530684 -04 50 18.059784995|3.46     |4.40     |4.59     |4.67     |4.85     |B1V+?                | 228 |   0
153 |* zet Lup                          |PM*|15 12 17.0955222617 -52 05 57.295332603|4.99     |4.33     |3.41     |     ~   |     ~   |G8III                | 113 |   0
154 |V* UU Aur                          |C* |06 36 32.8371036984 +38 26 43.819021608|     ~   |7.89     |5.25     |3.31     |1.90     |C-N5-                | 309 |   1
155 |HD 28776                           |*  |04 30 40.3296175104 -35 39 12.637298412|     ~   |6.962    |5.950    |     ~   |     ~   |K0II                 |  19 |   0
156 |* phi And B                        |*  |01 09 30.152592 +47 14 30.22678        |     ~   |5.55     |5.62     |     ~   |     ~   |~                    |   1 |   0
157 |* tet Per                          |PM*|02 44 11.9866154103 +49 13 42.414669174|4.62     |4.62     |4.11     |3.67     |3.37     |F8V                  | 415 |   0
158 |HD 36553                           |PM*|05 30 09.4789496328 -47 04 39.556146828|     ~   |6.065    |5.453    |     ~   |     ~   |F8/G2                |  52 |   0
159 |HD 157097                          |*  |17 22 54.7490787120 -37 13 14.839562316|     ~   |6.999    |5.914    |     ~   |     ~   |K1III                |  17 |   0
160 |* 71 Peg                           |LP?|23 33 28.0929586811 +22 29 55.610550206|     ~   |6.90     |5.42     |     ~   |     ~   |M5III                |  65 |   0
161 |* s Vel A                          |*  |10 31 57.4365302496 -45 04 00.184051308|     ~   |5.499    |5.668    |     ~   |     ~   |B8/A0                |  31 |   0
162 |* rho Boo                          |PM*|14 31 49.7893292450 +30 22 17.171652275|6.33     |4.89     |3.59     |2.67     |2.02     |K3-III               | 265 |   0
163 |* iot Mic                          |PM*|20 48 29.1527210832 -43 59 18.542615928|     ~   |5.44     |5.10     |     ~   |     ~   |F2V                  |  64 |   0
164 |* tet Nor                          |PM*|16 15 15.3177605472 -47 22 19.271560980|     ~   |5.007    |5.124    |     ~   |     ~   |B8V                  |  49 |   0
165 |HD 70652                           |V* |08 22 54.0945547056 -07 32 35.238876072|     ~   |7.548    |5.918    |     ~   |     ~   |M2III                |  29 |   0
166 |* kap UMa                          |** |09 03 37.52762 +47 09 23.4890          |     ~   |3.55     |3.55     |     ~   |     ~   |A1Vn                 | 174 |   0
167 |V* RR Lyn                          |SB*|06 26 25.8366305040 +56 17 06.346261104|     ~   |5.76     |5.54     |     ~   |     ~   |kA3hA7VmF2           | 216 |   0
